english,kirundi
House,Inzu
Water,Amazi
Food,Ibifungurwa
Friend,Umugenzi
Family,Umuryango
Mother,Mama
Father,Data
Child,Umwana
Tree,Igiti
Sun,Izuba
Moon,Ukwezi
Sky,Ikirere
Road,Inzira
Market,Isoko
School,Ishure
Book,Igitabu
Money,Amahera
Day,Umusi
Night,Ijoro
Morning,Mu gitondo
Year,Umwaka
Country,Igihugu
City,Igisagara
Village,Umugi
Bird,Igisiba
Dog,Imbwa
Fish,Ifi
Fire,Umuriro
Door,Umuryango w'inzu
Chair,Intebe
